#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               631                 1          0.914358        0.00850732
               632                 1          0.914494        0.00849494
               633                 1          0.914629        0.00848259
               634                 1          0.914763        0.00847028
               635                 1          0.914898        0.00845801
               636                 1          0.915031        0.00844577
               637                 1          0.915165        0.00843356
               638                 1          0.915298        0.00842139
               639                 1           0.91543        0.00840926
               640                 1          0.915563        0.00839715
               641                 1          0.915694        0.00838509
               642                 1          0.915826        0.00837305
               643                 1          0.915956        0.00836106
               644                 1          0.916087        0.00834909
               645                 1          0.916217        0.00833716
               646                 1          0.916347        0.00832526
               647                 1          0.916476         0.0083134
               648                 1          0.916605        0.00830157
               649                 1          0.916733        0.00828977
               650                 1          0.916862        0.00827801
               651                 1          0.916989        0.00826628
               652                 1          0.917117        0.00825458
               653                 1          0.917243        0.00824292
               654                 1           0.91737        0.00823128
               655                 1          0.917496        0.00821968
               656                 1          0.917622        0.00820811
               657                 1          0.917747        0.00819658
               658                 1          0.917872        0.00818508
               659                 1          0.917997         0.0081736
               660                 1          0.918121        0.00816216
               661                 1          0.918245        0.00815076
               662                 1          0.918369        0.00813938
               663                 1          0.918492        0.00812803
               664                 1          0.918614        0.00811672
               665                 1          0.918737        0.00810544
               666                 1          0.918859        0.00809418
               667                 1          0.918981        0.00808296
               668                 1          0.919102        0.00807177
               669                 1          0.919223        0.00806061
               670                 1          0.919343        0.00804948
               671                 1          0.919463        0.00803838
               672                 1          0.919583        0.00802732
               673                 1          0.919703        0.00801628
               674                 1          0.919822        0.00800527
               675                 1          0.919941        0.00799429
               676                 1          0.920059        0.00798334
               677                 1          0.920177        0.00797242
               678                 1          0.920295        0.00796153
               679                 1          0.920412        0.00795067
               680                 1          0.920529        0.00793984
               681                 1          0.920646        0.00792904
               682                 1          0.920762        0.00791827
               683                 1          0.920878        0.00790753
               684                 1          0.920994        0.00789681
               685                 1          0.921109        0.00788613
               686                 1          0.921224        0.00787547
               687                 1          0.921339        0.00786484
               688                 1          0.921453        0.00785424
               689                 1          0.921567        0.00784367
               690                 1          0.921681        0.00783312
               691                 1          0.921795        0.00782261
               692                 1          0.921908        0.00781212
               693                 1           0.92202        0.00780166
               694                 1          0.922133        0.00779123
               695                 1          0.922245        0.00778082
               696                 1          0.922356        0.00777044
               697                 1          0.922468        0.00776009
               698                 1          0.922579        0.00774977
               699                 1           0.92269        0.00773948
               700                 1            0.9228        0.00772921
               701                 1           0.92291        0.00771897
               702                 1           0.92302        0.00770875
               703                 1          0.923129        0.00769856
               704                 1          0.923239         0.0076884
               705                 1          0.923348        0.00767827
               706                 1          0.923456        0.00766816
               707                 1          0.923564        0.00765808
               708                 1          0.923672        0.00764802
               709                 1           0.92378        0.00763799
               710                 1          0.923887        0.00762799
               711                 1          0.923994        0.00761801
               712                 1          0.924101        0.00760806
               713                 1          0.924208        0.00759813
               714                 1          0.924314        0.00758823
               715                 1           0.92442        0.00757836
               716                 1          0.924525        0.00756851
               717                 1           0.92463        0.00755869
               718                 1          0.924735        0.00754889
               719                 1           0.92484        0.00753911
               720                 1          0.924944        0.00752937
               721                 1          0.925049        0.00751964
               722                 1          0.925152        0.00750994
               723                 1          0.925256        0.00750027
               724                 1          0.925359        0.00749062
               725                 1          0.925462          0.007481
               726                 1          0.925565         0.0074714
               727                 1          0.925667        0.00746182
               728                 1          0.925769        0.00745227
               729                 1          0.925871        0.00744274
               730                 1          0.925973        0.00743324
               731                 1          0.926074        0.00742376
               732                 1          0.926175        0.00741431
               733                 1          0.926276        0.00740488
               734                 1          0.926376        0.00739547
               735                 1          0.926476        0.00738609
               736                 1          0.926576        0.00737673
               737                 1          0.926676        0.00736739
               738                 1          0.926775        0.00735808
               739                 1          0.926874        0.00734879
               740                 1          0.926973        0.00733952
               741                 1          0.927072        0.00733028
               742                 1           0.92717        0.00732106
               743                 1          0.927268        0.00731186
               744                 1          0.927366        0.00730268
               745                 1          0.927463        0.00729353
               746                 1           0.92756         0.0072844
               747                 1          0.927657         0.0072753
               748                 1          0.927754        0.00726622
               749                 1           0.92785        0.00725715
               750                 1          0.927947        0.00724812
               751                 1          0.928043         0.0072391
               752                 1          0.928138        0.00723011
               753                 1          0.928234        0.00722113
               754                 1          0.928329        0.00721218
               755                 1          0.928424        0.00720326
               756                 1          0.928519        0.00719435
               757                 1          0.928613        0.00718547
               758                 1          0.928707         0.0071766
               759                 1          0.928801        0.00716776
               760                 1          0.928895        0.00715894
               761                 1          0.928988        0.00715015
               762                 1          0.929081        0.00714137
               763                 1          0.929174        0.00713261
               764                 1          0.929267        0.00712388
               765                 1          0.929359        0.00711517
               766                 1          0.929452        0.00710648
               767                 1          0.929544        0.00709781
               768                 1          0.929635        0.00708916
               769                 1          0.929727        0.00708053
               770                 1          0.929818        0.00707192
               771                 1          0.929909        0.00706334
               772                 1              0.93        0.00705477
               773                 1          0.930091        0.00704623
               774                 1          0.930181         0.0070377
               775                 1          0.930271         0.0070292
               776                 1          0.930361        0.00702071
               777                 1           0.93045        0.00701225
               778                 1           0.93054        0.00700381
               779                 1          0.930629        0.00699538
               780                 1          0.930718        0.00698698
               781                 1          0.930807         0.0069786
               782                 1          0.930895        0.00697023
               783                 1          0.930983        0.00696189
               784                 1          0.931071        0.00695357
               785                 1          0.931159        0.00694526
               786                 1          0.931247        0.00693698
               787                 1          0.931334        0.00692871
               788                 1          0.931421        0.00692047
               789                 1          0.931508        0.00691224
               790                 1          0.931595        0.00690404
               791                 1          0.931681        0.00689585
               792                 1          0.931768        0.00688768
               793                 1          0.931854        0.00687954
               794                 1           0.93194        0.00687141
               795                 1          0.932025         0.0068633
               796                 1          0.932111        0.00685521
               797                 1          0.932196        0.00684713
               798                 1          0.932281        0.00683908
               799                 1          0.932365        0.00683105
               800                 1           0.93245        0.00682303
               801                 1          0.932534        0.00681503
               802                 1          0.932618        0.00680706
               803                 1          0.932702         0.0067991
               804                 1          0.932786        0.00679115
               805                 1           0.93287        0.00678323
               806                 1          0.932953        0.00677533
               807                 1          0.933036        0.00676744
               808                 1          0.933119        0.00675957
               809                 1          0.933201        0.00675172
