# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
          0.826667              1.93           2.62529          0.110622
              0.88             1.922           2.67329         0.0853785
          0.933333             1.892           2.81224         0.0898566
          0.986667              1.98           3.35624          0.167255
              1.04             2.992           3.36353          0.244673
           1.09333             3.106           3.47671          0.211246
           1.14667             4.186           3.83859          0.231722
               1.2              3.22           3.90965          0.284308
           1.25333              4.01             3.952           0.22147
           1.30667             5.556           3.69059          0.191055
              1.36             4.062           3.67647          0.120627
           1.41333             3.602           3.52271          0.136546
           1.46667              3.47           3.34106          0.116038
              1.52             3.524           3.18588          0.127686
           1.57333             3.128           3.07894         0.0936376
         0.0266667                 0        0.00311111        0.00126903
              0.08                 0         0.0257778        0.00922542
          0.133333             0.152         0.0796667         0.0161209
          0.186667             0.188          0.129889         0.0229059
              0.24             0.164             0.204         0.0263364
          0.293333             0.334          0.334778         0.0413946
          0.346667             0.394          0.476333         0.0449005
               0.4              0.64          0.747778         0.0678469
          0.453333             1.064             1.028         0.0750287
          0.506667             1.788           1.39378           0.12357
              0.56             1.584           1.64211          0.148341
          0.613333             2.342           1.80211          0.131604
          0.666667             2.668           1.90389         0.0963173
              0.72             2.662           2.16156          0.108296
          0.773333             2.182           2.30756          0.114827
          0.826667             2.012           2.59122          0.109598
              0.88             2.472           2.66211         0.0813644
          0.933333             2.424           2.79067         0.0874149
          0.986667             2.684           3.31889          0.162079
              1.04             4.066           3.40256          0.234172
           1.09333             4.386           3.52722          0.205461
           1.14667             3.144               3.8          0.222039
               1.2             3.494           3.88656          0.269449
           1.25333             3.972           3.95311          0.209169
           1.30667             2.948           3.64933          0.184841
              1.36             2.898           3.63322          0.121431
           1.41333             2.834           3.48444          0.134214
           1.46667             2.666           3.30356          0.115493
              1.52             3.172           3.18511          0.120594
           1.57333             3.118           3.08111         0.0884607
         0.0266667                 0        0.00294737        0.00121275
              0.08             0.022         0.0255789        0.00874201
          0.133333             0.068         0.0790526         0.0152841
          0.186667               0.1          0.128316         0.0217542
              0.24             0.404          0.214526          0.026972
